concurso,data,n1,n2,n3,n4,n5,n6
2800,15/03/2025,4,12,23,31,45,58
2801,18/03/2025,7,15,22,33,41,56
2802,20/03/2025,2,18,27,35,48,59
2803,22/03/2025,9,14,29,37,44,52
2804,25/03/2025,5,11,26,38,47,60
2805,27/03/2025,1,16,24,32,43,55
2806,29/03/2025,8,19,28,36,49,57
2807,01/04/2025,3,13,21,34,46,54
2808,03/04/2025,6,17,25,39,42,51
2809,05/04/2025,10,20,30,40,50,53
2810,08/04/2025,4,15,23,31,45,58
2811,10/04/2025,7,12,22,33,41,56
2812,12/04/2025,2,18,27,35,48,59
2813,15/04/2025,9,14,29,37,44,52
2814,17/04/2025,5,11,26,38,47,60
2815,19/04/2025,1,16,24,32,43,55
2816,22/04/2025,8,19,28,36,49,57
2817,24/04/2025,3,13,21,34,46,54
2818,26/04/2025,6,17,25,39,42,51
2819,29/04/2025,10,20,30,40,50,53
